PRED,IMAGE,CONF
4ZNA78,090009_1701118623384R04_351,924
2YVP24,090112_1701112215737F03_051,926
AW30306,001315_1701098319010R03_458,904
4DCR71,090006_1701102268894F03_841,938
47P370,011016_1701093275967R02_471,940
V57575,090112_1701112646826F02_631,935
4RJ325,090011_1701097682567R03_011,934
AA88802,090008_1701103450725F03_081,918
X24SAC,090009_1701094596510F04_381,925
BB45101,090009_1701098573802F03_231,899
6,090009_1701108317893F06_801,845
3RH292,090113_1701105286116F04_631,932
BE5703,090109_1701103284697R05_621,868
KBX5463,090101_1701103908173R03_941,918
LCF7447,090002_1701109857648R03_291,912
2TVB78,001315_1701097263410F02_394,875
7VN145,001215_1701092000373R02_581,942
87CY51,090006_1701094262471R03_511,837
1NVA31,090111_1701099718830R03_211,921
4LNS35,090006_1701119761432F03_831,945
2ZKV88,090005_1701106340814R03_241,936
5BEK19,090014_1701109962935R06_551,936
5256278,090314_1701121636930R02_501,942
LV87117,090013_1701090633584F02_341,855
G41728994725782W,090004_1701105032729R02_451,255
1BSP58,090102_1701094716236R02_401,938
EVH174,090011_1701097096860F04_241,898
LDX8838,090102_1701095873774F03_781,919
3VBJ65,090109_1701119353311F03_751,942
AHL0VE,090102_1701105540203F03_601,900
BA64267,090009_1701098382270R04_471,916
267FP5,090010_1701110590620R02_791,902
2ZJR52,090008_1701093224734F04_511,927
JEP9242,001315_1701121040230F02_288,868
3BXJ16,090110_1701094137570R03_641,919
R43671,090113_1701105355699R02_971,909
5PFK39,001315_1701094087977F02_250,924
3MJ348,090009_1701098537766F05_511,932
3HVP67,090110_1701119321433F02_371,929
2LVN23,090014_1701106412170F05_981,929
S75125,090108_1701116165330F03_051,925
LVA2559,001015_1701094900999R04_901,893
3NJH87,090010_1701098936554R04_761,946
1AD42X,090108_1701110499515R02_191,917
BHTG23,090110_1701122326885R03_301,926
3CTL84,090112_1701116328330R04_901,934
T72251,090013_1701098243143R02_301,891
8NZ566,090314_1701116282804R01_911,928
1KJB45,090106_1701112426909F02_311,936
BR3389,090106_1701097714974R04_161,914
1LVB32,090314_1701093313228F02_711,937
2CB382,090007_1701106243162F03_181,934
3KLB95,090008_1701109811224R03_591,919
HHR,090006_1701112799782R04_511,931
W85166,090105_1701102496448R01_231,926
6GR296,090106_1701094585306F03_631,947
21AUPX,090014_1701117484958R05_441,911
T98513,090014_1701092092432F05_321,937
2PN393,090006_1701096554280R04_211,921
2RGR55,090110_1701115044855R04_121,947
9957,090109_1701116956124R04_491,909
TXT7672,090105_1701100402618F02_651,932
9CL487,090103_1701120806403R02_271,934
KXB2513,090107_1701105509081R03_771,923
1LAF30,090108_1701107655757F04_181,923
43BQCK,090013_1701094681845R03_421,927
